[stage1] city=porto trajs=200000 roads=154144 batch=32 layers=4 bf16=True device=cuda
epoch 1 step 006750  total 0.2523  mgm 0.0030  contrast 0.2447  next 0.0046  lr 2.67e-04
epoch 1 step 006800  total 0.2564  mgm 0.0023  contrast 0.2508  next 0.0032  lr 2.66e-04
epoch 1 step 006850  total 0.2959  mgm 0.0042  contrast 0.2864  next 0.0053  lr 2.66e-04
epoch 1 step 006900  total 0.2499  mgm 0.0028  contrast 0.2415  next 0.0056  lr 2.65e-04
epoch 1 step 006950  total 0.2543  mgm 0.0037  contrast 0.2462  next 0.0044  lr 2.65e-04
epoch 1 step 007000  total 0.2439  mgm 0.0043  contrast 0.2329  next 0.0067  lr 2.64e-04
epoch 1 step 007050  total 0.2938  mgm 0.0024  contrast 0.2871  next 0.0043  lr 2.64e-04
epoch 1 step 007100  total 0.3034  mgm 0.0031  contrast 0.2948  next 0.0054  lr 2.63e-04
epoch 1 step 007150  total 0.2372  mgm 0.0057  contrast 0.2234  next 0.0081  lr 2.63e-04
epoch 1 step 007200  total 0.2874  mgm 0.0041  contrast 0.2799  next 0.0034  lr 2.62e-04
epoch 1 step 007250  total 0.2735  mgm 0.0037  contrast 0.2624  next 0.0074  lr 2.62e-04
epoch 1 step 007300  total 0.2837  mgm 0.0093  contrast 0.2608  next 0.0136  lr 2.61e-04
epoch 1 step 007350  total 0.2633  mgm 0.0037  contrast 0.2563  next 0.0033  lr 2.61e-04
epoch 1 step 007400  total 0.2676  mgm 0.0029  contrast 0.2612  next 0.0035  lr 2.60e-04
epoch 1 step 007450  total 0.2312  mgm 0.0018  contrast 0.2271  next 0.0024  lr 2.60e-04
epoch 1 step 007500  total 0.3105  mgm 0.0030  contrast 0.3030  next 0.0044  lr 2.59e-04
epoch 1 step 007550  total 0.2593  mgm 0.0044  contrast 0.2505  next 0.0045  lr 2.59e-04
epoch 1 step 007600  total 0.2628  mgm 0.0029  contrast 0.2561  next 0.0038  lr 2.58e-04
epoch 1 step 007650  total 0.3544  mgm 0.0076  contrast 0.3372  next 0.0097  lr 2.58e-04
epoch 1 step 007700  total 0.2746  mgm 0.0068  contrast 0.2623  next 0.0056  lr 2.57e-04
epoch 1 step 007750  total 0.3301  mgm 0.0028  contrast 0.3237  next 0.0037  lr 2.57e-04
epoch 1 step 007800  total 0.2874  mgm 0.0037  contrast 0.2760  next 0.0077  lr 2.56e-04
epoch 1 step 007850  total 0.2606  mgm 0.0105  contrast 0.2398  next 0.0103  lr 2.56e-04
epoch 1 step 007900  total 0.1873  mgm 0.0056  contrast 0.1753  next 0.0064  lr 2.55e-04
epoch 1 step 007950  total 0.2780  mgm 0.0057  contrast 0.2678  next 0.0045  lr 2.55e-04
epoch 1 step 008000  total 0.2864  mgm 0.0022  contrast 0.2810  next 0.0031  lr 2.54e-04
epoch 1 step 008050  total 0.2812  mgm 0.0029  contrast 0.2746  next 0.0037  lr 2.53e-04
epoch 1 step 008100  total 0.2309  mgm 0.0012  contrast 0.2276  next 0.0021  lr 2.53e-04
epoch 1 step 008150  total 0.2365  mgm 0.0052  contrast 0.2194  next 0.0119  lr 2.52e-04
epoch 1 step 008200  total 0.2378  mgm 0.0017  contrast 0.2335  next 0.0026  lr 2.52e-04
epoch 1 step 008250  total 0.2589  mgm 0.0043  contrast 0.2497  next 0.0048  lr 2.51e-04
